model_name,Disease,Cell Cycle,Developmental Biology
qwen3-4b-2507,0.13279154610209146,0.06444762906363417,0.11721249871816611
qwen3.5-0.8b,-0.05228630947180291,-0.059850627609781076,0.046783445282462276
qwen3.5-2b,0.03496095091671596,-0.04284334189539558,0.10230776684844226
qwen3.5-4b,0.16422043034872297,0.054408480103966955,0.15041567345712353
qwen3.5-9b,0.22510722462981142,0.1081718162955691,0.17306812034871505
gpt-oss-20b,0.24384623070815256,0.16795630539830858,0.20691928431905984
olmo-3.1-32b-think,0.13225093012890185,0.11350076203762924,0.08008299981050496
qwen3-30b-a3b-2507,0.11190964659441041,0.11173087847481383,0.09372372391874949
qwen3.5-27b,0.21751348764970188,0.12984510652523787,0.1584437610416107
qwen3.5-35b-a3b,0.246391502112979,0.1278113073513727,0.1950279627017127
MiniMax-M2.5,0.22958882715570766,0.1514467495337586,0.185551834756926
gpt-oss-120b,0.24810051508959832,0.1701059234422294,0.19431751444477263
qwen3-235b-a22b-2507,0.223877001378366,0.09905200226890826,0.19694803729548693
qwen3-coder-next,0.23111812338027482,0.05793102201036638,0.192113550639199
qwen3.5-122b-a10b,0.21039196291393605,0.18323993574504074,0.16957866808662345
GLM-5,0.25314911109193866,0.14923329959816722,0.21539776360285987
Kimi-K2.5,0.21043539258749552,0.16250726193174747,0.16547999518755488
deepseek-v3.2,0.20886773359772506,0.17649349477018692,0.1514498743953881
deepseek-v3.2-nothink,0.21612577857861104,0.18993264993404071,0.1361299672792799
qwen3.5-397b-a17b,0.25409982643287743,0.1941464520925817,0.1927660713289368
biomni-a1-claude-4,0.22778425087476833,0.09645345082709395,0.1617876447605481
claude-haiku-4.5,0.19581455339573486,0.16980707052158972,0.1369713582083044
claude-opus-4.5,0.18883838686352183,0.16542433530041448,0.09184503934082752
claude-sonnet-4.5,0.22365982065633325,0.1979327501770908,0.15429371307247572
gemini-3-flash,0.2926461492595406,0.13116152360681965,0.2600303796418657
gemini-3-pro,0.27419904066066386,0.07890685999206219,0.2257262429286361
gemini-3.1-pro,0.2852587106730446,0.1836518931118154,0.2598250129621841
gpt-5-mini,0.2125081652014351,0.16534016826246362,0.14421497401073896
gpt-5.2,0.22089690375973803,0.2148730633139027,0.17918834730783625
gpt-5.4,0.10912475680703697,0.20737586286645315,0.060024504249043036
