dataset_name,duplicate_id,id1,id2,adjusted_ndcg@100_1,adjusted_ndcg@100_2,hit_scaled_adjusted_ndcg@100_1,hit_scaled_adjusted_ndcg@100_2,duplicate_avg_adjusted_ndcg@100,phenotype
TR_71_72,"[71, 72]",71,72,0.994722882611138,0.9946468961813982,0.9506829507653292,0.9613221405785065,0.9946848893962681,Fitness / Proliferation / Viability
TR_796_797,"[796, 797]",796,797,0.9598076282461968,0.9780288487061246,0.8387729582874337,0.8859675215178471,0.9689182384761608,Fitness / Proliferation / Viability
TR_1082_1083,"[1082, 1083]",1082,1083,0.15111070463678147,0.13441979331990567,0.1473086840891098,0.10835110820072377,0.14276524897834358,Drug / Chemical / Environmental Response
TR_1209_1210,"[1209, 1210]",1209,1210,0.29622884575852354,0.25353576276772216,0.2749726914960829,0.26450279891396716,0.2748823042631229,Host-Pathogen / Infection Response
U_TR_1326_1327_dec,"[1326, 1327]",1326,1327,0.8993838252094275,0.9022633179432288,0.9236583900200647,0.9112228070197275,0.9008235715763282,Drug / Chemical / Environmental Response
TR_1669_1670,"[1669, 1670]",1669,1670,0.26965385398046116,0.3509814458843745,0.22310862378770324,0.2685890540803151,0.31031764993241784,Drug / Chemical / Environmental Response
TR_1967_1968,"[1967, 1968]",1967,1968,0.05318616109685864,0.2125258459900629,0.13111564435699724,0.3020239820305524,0.13285600354346078,Drug / Chemical / Environmental Response
TR_1969_1970,"[1969, 1970]",1969,1970,0.7175845197582519,0.7853447913158418,0.6711638661652483,0.707337481286889,0.7514646555370468,Drug / Chemical / Environmental Response
TR_1971_1972,"[1971, 1972]",1971,1972,0.5265149237150779,0.4276294316745465,0.49471560740481,0.4432921755342162,0.4770721776948122,Drug / Chemical / Environmental Response
TR_1973_1974,"[1973, 1974]",1973,1974,0.10500087399424744,0.01125415990235499,0.07090200877865621,0.03469481838318282,0.05812751694830122,Drug / Chemical / Environmental Response
TR_1975_1976,"[1975, 1976]",1975,1976,0.6616125964094605,0.6395856888015428,0.5155460701486877,0.4897217360249094,0.6505991426055016,Drug / Chemical / Environmental Response
TR_1977_1978,"[1977, 1978]",1977,1978,0.7633962108783494,0.743087477233218,0.5349065743500142,0.49756720145797506,0.7532418440557838,Drug / Chemical / Environmental Response
TR_1979_1980,"[1979, 1980]",1979,1980,0.3432399846420458,0.31081543918439236,0.4098371532485769,0.3104404215255102,0.3270277119132191,Drug / Chemical / Environmental Response
TR_1981_1982,"[1981, 1982]",1981,1982,0.2519996759346278,0.3201680588444036,0.4076928496794718,0.28167291064966526,0.2860838673895157,Drug / Chemical / Environmental Response
TR_2024_2038,"[2024, 2038]",2024,2038,0.17181466852654448,0.1287582777758827,0.19663742422379607,0.2168303792777445,0.15028647315121357,Host-Pathogen / Infection Response
TR_2046_2047,"[2046, 2047]",2046,2047,0.7180692349310193,0.5628628893033033,0.9181185209864408,0.6022991842405228,0.6404660621171613,Host-Pathogen / Infection Response
